src/entity/Entity.java:1:	ExcessivePublicCount:	ExcessivePublicCount: This class has a bunch of public methods and attributes
src/entity/Player.java:308:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '308'-'311').
src/entity/Player.java:310:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Player.java:316:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '316'-'319').
src/entity/Player.java:316:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '316'-'322').
src/entity/Player.java:318:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Player.java:319:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '319'-'322').
src/entity/Player.java:321:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Player.java:327:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '327'-'330').
src/entity/Player.java:327:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '327'-'333').
src/entity/Player.java:329:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Player.java:330:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '330'-'333').
src/entity/Player.java:332:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/main/AssetSetter.java:4:	UnnecessaryImport:	UnnecessaryImport: Unused import 'object.OBJ_Chest'
src/main/AssetSetter.java:4:	UnusedImports:	UnusedImports: Unused import 'object.OBJ_Chest'
src/main/AssetSetter.java:6:	UnnecessaryImport:	UnnecessaryImport: Unused import 'object.OBJ_Key'
src/main/AssetSetter.java:6:	UnusedImports:	UnusedImports: Unused import 'object.OBJ_Key'
src/main/AssetSetter.java:13:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the gp field if you want a default access modifier
src/main/AssetSetter.java:13:	CommentRequired:	CommentRequired: Field comments are required
src/main/AssetSetter.java:13:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/AssetSetter.java:13:	ShortVariable:	ShortVariable: Avoid variables with short names like gp
src/main/AssetSetter.java:17:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'gp' is not assigned and could be declared final
src/main/AssetSetter.java:17:	ShortVariable:	ShortVariable: Avoid variables with short names like gp
src/main/CollisionChecker.java:5:	CommentRequired:	CommentRequired: Class comments are required
src/main/CollisionChecker.java:5:	ModifiedCyclomaticComplexity:	ModifiedCyclomaticComplexity: The class 'CollisionChecker' has a Modified Cyclomatic Complexity of 8 (Highest = 16).
src/main/CollisionChecker.java:5:	StdCyclomaticComplexity:	StdCyclomaticComplexity: The class 'CollisionChecker' has a Standard Cyclomatic Complexity of 10 (Highest = 19).
src/main/CollisionChecker.java:6:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the gp field if you want a default access modifier
src/main/CollisionChecker.java:6:	CommentRequired:	CommentRequired: Field comments are required
src/main/CollisionChecker.java:6:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/CollisionChecker.java:6:	ShortVariable:	ShortVariable: Avoid variables with short names like gp
src/main/CollisionChecker.java:8:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/CollisionChecker.java:8:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'gp' is not assigned and could be declared final
src/main/CollisionChecker.java:8:	ShortVariable:	ShortVariable: Avoid variables with short names like gp
src/main/CollisionChecker.java:11:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/CollisionChecker.java:11:	CyclomaticComplexity:	CyclomaticComplexity: The method 'checkTile(Entity)' has a cyclomatic complexity of 13.
src/main/CollisionChecker.java:11:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'entity' is not assigned and could be declared final
src/main/CollisionChecker.java:12:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'entityLeftWorldX' could be declared final
src/main/CollisionChecker.java:13:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'entityRightWorldX' could be declared final
src/main/CollisionChecker.java:14:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'entityTopWorldY' could be declared final
src/main/CollisionChecker.java:15:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'entityBottomWorldY' could be declared final
src/main/CollisionChecker.java:15:	LongVariable:	LongVariable: Avoid excessively long variable names like entityBottomWorldY
src/main/CollisionChecker.java:17:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'entityLeftCol' (lines '17'-'42').
src/main/CollisionChecker.java:17:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'entityLeftCol' (lines '17'-'59').
src/main/CollisionChecker.java:18:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'entityRightCol' (lines '18'-'50').
src/main/CollisionChecker.java:18:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'entityRightCol' (lines '18'-'59').
src/main/CollisionChecker.java:19:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'entityTopRow' (lines '19'-'26').
src/main/CollisionChecker.java:19:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'entityTopRow' (lines '19'-'59').
src/main/CollisionChecker.java:20:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'entityBottomRow' (lines '20'-'34').
src/main/CollisionChecker.java:20:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'entityBottomRow' (lines '20'-'59').
src/main/CollisionChecker.java:22:	OneDeclarationPerLine:	OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.
src/main/CollisionChecker.java:24:	SwitchStmtsShouldHaveDefault:	SwitchStmtsShouldHaveDefault: Switch statements should be exhaustive, add a default case (or missing enum branches)
src/main/CollisionChecker.java:29:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:29:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:33:	AvoidDuplicateLiterals:	AvoidDuplicateLiterals: The String literal "down" appears 4 times in this file; the first occurrence is on line 33
src/main/CollisionChecker.java:37:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:37:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:41:	AvoidDuplicateLiterals:	AvoidDuplicateLiterals: The String literal "left" appears 4 times in this file; the first occurrence is on line 41
src/main/CollisionChecker.java:45:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:45:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:49:	AvoidDuplicateLiterals:	AvoidDuplicateLiterals: The String literal "right" appears 4 times in this file; the first occurrence is on line 49
src/main/CollisionChecker.java:53:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:53:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:60:	CognitiveComplexity:	CognitiveComplexity: The method 'checkObject(Entity, boolean)' has a cognitive complexity of 62, current threshold is 15
src/main/CollisionChecker.java:60:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/CollisionChecker.java:60:	CyclomaticComplexity:	CyclomaticComplexity: The method 'checkObject(Entity, boolean)' has a cyclomatic complexity of 19.
src/main/CollisionChecker.java:60:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'player' is not assigned and could be declared final
src/main/CollisionChecker.java:60:	ModifiedCyclomaticComplexity:	ModifiedCyclomaticComplexity: The method 'checkObject' has a Modified Cyclomatic Complexity of 16.
src/main/CollisionChecker.java:60:	StdCyclomaticComplexity:	StdCyclomaticComplexity: The method 'checkObject' has a Standard Cyclomatic Complexity of 19.
src/main/CollisionChecker.java:61:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '61'-'104').
src/main/CollisionChecker.java:61:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '61'-'115').
src/main/CollisionChecker.java:61:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '61'-'82').
src/main/CollisionChecker.java:61:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '61'-'93').
src/main/CollisionChecker.java:74:	SwitchDensity:	SwitchDensity: A high ratio of statements to labels in a switch statement.  Consider refactoring.
src/main/CollisionChecker.java:74:	SwitchStmtsShouldHaveDefault:	SwitchStmtsShouldHaveDefault: Switch statements should be exhaustive, add a default case (or missing enum branches)
src/main/CollisionChecker.java:77:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/CollisionChecker.java:78:	AvoidDeeplyNestedIfStmts:	AvoidDeeplyNestedIfStmts: Deeply nested if..then statements are hard to read
src/main/CollisionChecker.java:78:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:81:	AvoidDeeplyNestedIfStmts:	AvoidDeeplyNestedIfStmts: Deeply nested if..then statements are hard to read
src/main/CollisionChecker.java:81:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:82:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '82'-'104').
src/main/CollisionChecker.java:82:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '82'-'115').
src/main/CollisionChecker.java:82:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '82'-'82').
src/main/CollisionChecker.java:82:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '82'-'93').
src/main/CollisionChecker.java:88:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/CollisionChecker.java:89:	AvoidDeeplyNestedIfStmts:	AvoidDeeplyNestedIfStmts: Deeply nested if..then statements are hard to read
src/main/CollisionChecker.java:89:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:92:	AvoidDeeplyNestedIfStmts:	AvoidDeeplyNestedIfStmts: Deeply nested if..then statements are hard to read
src/main/CollisionChecker.java:92:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:93:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '93'-'104').
src/main/CollisionChecker.java:93:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '93'-'115').
src/main/CollisionChecker.java:93:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '93'-'82').
src/main/CollisionChecker.java:93:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '93'-'93').
src/main/CollisionChecker.java:99:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/CollisionChecker.java:100:	AvoidDeeplyNestedIfStmts:	AvoidDeeplyNestedIfStmts: Deeply nested if..then statements are hard to read
src/main/CollisionChecker.java:100:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:103:	AvoidDeeplyNestedIfStmts:	AvoidDeeplyNestedIfStmts: Deeply nested if..then statements are hard to read
src/main/CollisionChecker.java:103:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:104:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '104'-'104').
src/main/CollisionChecker.java:104:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '104'-'115').
src/main/CollisionChecker.java:104:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '104'-'82').
src/main/CollisionChecker.java:104:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '104'-'93').
src/main/CollisionChecker.java:110:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/CollisionChecker.java:111:	AvoidDeeplyNestedIfStmts:	AvoidDeeplyNestedIfStmts: Deeply nested if..then statements are hard to read
src/main/CollisionChecker.java:111:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:114:	AvoidDeeplyNestedIfStmts:	AvoidDeeplyNestedIfStmts: Deeply nested if..then statements are hard to read
src/main/CollisionChecker.java:114:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/CollisionChecker.java:115:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '115'-'104').
src/main/CollisionChecker.java:115:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '115'-'115').
src/main/CollisionChecker.java:115:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '115'-'82').
src/main/CollisionChecker.java:115:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '115'-'93').
src/main/CollisionChecker.java:132:	CognitiveComplexity:	CognitiveComplexity: The method 'checkEntity(Entity, Entity)' has a cognitive complexity of 22, current threshold is 15
src/main/CollisionChecker.java:132:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/CollisionChecker.java:132:	CyclomaticComplexity:	CyclomaticComplexity: The method 'checkEntity(Entity, Entity)' has a cyclomatic complexity of 11.
src/main/CollisionChecker.java:132:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'target' is not assigned and could be declared final
src/main/CollisionChecker.java:132:	StdCyclomaticComplexity:	StdCyclomaticComplexity: The method 'checkEntity' has a Standard Cyclomatic Complexity of 11.
src/main/CollisionChecker.java:132:	UseVarargs:	UseVarargs: Consider using varargs for methods or constructors which take an array the last parameter.
src/main/CollisionChecker.java:133:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '133'-'151').
src/main/CollisionChecker.java:133:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '133'-'158').
src/main/CollisionChecker.java:133:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '133'-'165').
src/main/CollisionChecker.java:133:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '133'-'172').
src/main/CollisionChecker.java:146:	SwitchStmtsShouldHaveDefault:	SwitchStmtsShouldHaveDefault: Switch statements should be exhaustive, add a default case (or missing enum branches)
src/main/CollisionChecker.java:149:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/CollisionChecker.java:151:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '151'-'151').
src/main/CollisionChecker.java:151:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '151'-'158').
src/main/CollisionChecker.java:151:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '151'-'165').
src/main/CollisionChecker.java:151:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '151'-'172').
src/main/CollisionChecker.java:156:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/CollisionChecker.java:158:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '158'-'151').
src/main/CollisionChecker.java:158:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '158'-'158').
src/main/CollisionChecker.java:158:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '158'-'165').
src/main/CollisionChecker.java:158:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '158'-'172').
src/main/CollisionChecker.java:163:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/CollisionChecker.java:165:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '165'-'151').
src/main/CollisionChecker.java:165:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '165'-'158').
src/main/CollisionChecker.java:165:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '165'-'165').
src/main/CollisionChecker.java:165:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '165'-'172').
src/main/CollisionChecker.java:170:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/CollisionChecker.java:172:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '172'-'151').
src/main/CollisionChecker.java:172:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '172'-'158').
src/main/CollisionChecker.java:172:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '172'-'165').
src/main/CollisionChecker.java:172:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'index' (lines '172'-'172').
src/main/CollisionChecker.java:188:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/CollisionChecker.java:200:	SwitchStmtsShouldHaveDefault:	SwitchStmtsShouldHaveDefault: Switch statements should be exhaustive, add a default case (or missing enum branches)
src/main/CollisionChecker.java:203:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/CollisionChecker.java:209:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/CollisionChecker.java:215:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/CollisionChecker.java:221:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/EventHandler.java:4:	CommentRequired:	CommentRequired: Class comments are required
src/main/EventHandler.java:5:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the gp field if you want a default access modifier
src/main/EventHandler.java:5:	CommentRequired:	CommentRequired: Field comments are required
src/main/EventHandler.java:5:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/EventHandler.java:5:	ShortVariable:	ShortVariable: Avoid variables with short names like gp
src/main/EventHandler.java:6:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the eventRect field if you want a default access modifier
src/main/EventHandler.java:6:	CommentRequired:	CommentRequired: Field comments are required
src/main/EventHandler.java:6:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/EventHandler.java:8:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/EventHandler.java:8:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'gp' is not assigned and could be declared final
src/main/EventHandler.java:8:	ShortVariable:	ShortVariable: Avoid variables with short names like gp
src/main/EventHandler.java:30:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/EventHandler.java:32:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/main/EventHandler.java:35:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/EventHandler.java:35:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'col' is not assigned and could be declared final
src/main/EventHandler.java:35:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'reqDirection' is not assigned and could be declared final
src/main/EventHandler.java:35:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'row' is not assigned and could be declared final
src/main/EventHandler.java:37:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'hit' (lines '37'-'46').
src/main/EventHandler.java:44:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/EventHandler.java:45:	CollapsibleIfStatements:	CollapsibleIfStatements: These nested if statements could be combined
src/main/EventHandler.java:45:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/main/EventHandler.java:45:	LiteralsFirstInComparisons:	LiteralsFirstInComparisons: Position literals first in String comparisons
src/main/EventHandler.java:58:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/EventHandler.java:58:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'col' is not assigned and could be declared final
src/main/EventHandler.java:58:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'gameState' is not assigned and could be declared final
src/main/EventHandler.java:58:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'row' is not assigned and could be declared final
src/main/EventRect.java:5:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/EventRect.java:5:	CommentRequired:	CommentRequired: Class comments are required
src/main/EventRect.java:5:	MissingSerialVersionUID:	MissingSerialVersionUID: Classes implementing Serializable should set a serialVersionUID
src/main/EventRect.java:6:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the eventRectDefaultX field if you want a default access modifier
src/main/EventRect.java:6:	CommentRequired:	CommentRequired: Field comments are required
src/main/EventRect.java:6:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/EventRect.java:6:	OneDeclarationPerLine:	OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.
src/main/EventRect.java:7:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the eventDone field if you want a default access modifier
src/main/EventRect.java:7:	CommentRequired:	CommentRequired: Field comments are required
src/main/EventRect.java:7:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/EventRect.java:7:	RedundantFieldInitializer:	RedundantFieldInitializer: Avoid using redundant field initializer for 'eventDone'
src/main/GamePanel.java:18:	CommentRequired:	CommentRequired: Class comments are required
src/main/GamePanel.java:18:	MissingSerialVersionUID:	MissingSerialVersionUID: Classes implementing Serializable should set a serialVersionUID
src/main/GamePanel.java:18:	TooManyFields:	TooManyFields: Too many fields
src/main/GamePanel.java:20:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the originalTileSize field if you want a default access modifier
src/main/GamePanel.java:20:	CommentRequired:	CommentRequired: Field comments are required
src/main/GamePanel.java:20:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/GamePanel.java:20:	FinalFieldCouldBeStatic:	FinalFieldCouldBeStatic: This final field could be made static
src/main/GamePanel.java:22:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the scale field if you want a default access modifier
src/main/GamePanel.java:22:	CommentRequired:	CommentRequired: Field comments are required
src/main/GamePanel.java:22:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/GamePanel.java:22:	FinalFieldCouldBeStatic:	FinalFieldCouldBeStatic: This final field could be made static
src/main/GamePanel.java:24:	CommentRequired:	CommentRequired: Field comments are required
src/main/GamePanel.java:25:	CommentRequired:	CommentRequired: Field comments are required
src/main/GamePanel.java:25:	FinalFieldCouldBeStatic:	FinalFieldCouldBeStatic: This final field could be made static
src/main/GamePanel.java:26:	CommentRequired:	CommentRequired: Field comments are required
src/main/GamePanel.java:26:	FinalFieldCouldBeStatic:	FinalFieldCouldBeStatic: This final field could be made static
src/main/GamePanel.java:27:	CommentRequired:	CommentRequired: Field comments are required
src/main/GamePanel.java:28:	CommentRequired:	CommentRequired: Field comments are required
src/main/GamePanel.java:31:	CommentRequired:	CommentRequired: Field comments are required
src/main/GamePanel.java:31:	FinalFieldCouldBeStatic:	FinalFieldCouldBeStatic: This final field could be made static
src/main/GamePanel.java:32:	CommentRequired:	CommentRequired: Field comments are required
src/main/GamePanel.java:32:	FinalFieldCouldBeStatic:	FinalFieldCouldBeStatic: This final field could be made static
src/main/GamePanel.java:37:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the FPS field if you want a default access modifier
src/main/GamePanel.java:37:	CommentRequired:	CommentRequired: Field comments are required
src/main/GamePanel.java:37:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/GamePanel.java:37:	FieldNamingConventions:	FieldNamingConventions: The field name 'FPS' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/GamePanel.java:37:	SuspiciousConstantFieldName:	SuspiciousConstantFieldName: The field name indicates a constant but its modifiers do not
src/main/GamePanel.java:37:	VariableNamingConventions:	VariableNamingConventions: Variables should start with a lowercase character, 'FPS' starts with uppercase character.
src/main/GamePanel.java:40:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the tileM field if you want a default access modifier
src/main/GamePanel.java:40:	CommentRequired:	CommentRequired: Field comments are required
src/main/GamePanel.java:40:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/GamePanel.java:40:	NonSerializableClass:	NonSerializableClass: The field 'tileM' of serializable class 'main.GamePanel' is of non-serializable type 'tile.TileManager'.
src/main/GamePanel.java:41:	CommentRequired:	CommentRequired: Field comments are required
src/main/GamePanel.java:41:	NonSerializableClass:	NonSerializableClass: The field 'keyH' of serializable class 'main.GamePanel' is of non-serializable type 'main.KeyHandler'.
